Comments,Author,Timestamp
"I've been very sick for the last 1-2 weeks so my voice might have sounded different in the last two episodes, but still, I'm trying my best to entertain you guys. Thanks for all the love and support on this series.",@FING.,2024-02-12T13:38:58Z
Bhai Himalayan YETI KE BAARE ME VIDEO BANAYE,@malwafoodhavenspecial2687,2024-02-27T22:35:28Z
I am literally sorry for Fing. He is the most underrated Indian  YouTuber. 😢,@imranbinhossain6942,2024-02-27T17:22:44Z
Health is sick your ok,@lllRevalll,2024-02-27T16:42:01Z
"Thanks brother, for exposing these Americans. Because they always said that this was a terrorist attack planted by Muslims.",@amarulhaq3844,2024-02-27T13:18:07Z
Jua sikha khelna logo ko shabash,@InstantGermany,2024-02-27T10:59:15Z
Indian conspiracy theories when?,@Shitiz..,2024-02-27T08:21:16Z
Finggg Bhai 26/11 pe video bana,@roastify9883,2024-02-27T06:17:27Z
"5:22 bhai sach mai hansi aagai tbh😂😂
Its like earth sucked the building. The real meaning of ""धरती निगल गई""😂😂",@amritansh.09,2024-02-27T06:01:54Z
"Editing and production in fing's normal video: 😐😶
Editing and production in fing's conspiracy videos: 📈📈📈",@niharika_agrawal,2024-02-26T19:21:42Z
Baki sab to thik h par intro formal h,@glucoseytff4002,2024-02-26T17:56:47Z
brother to be honest this attack was very unforgettable because this attack took many lifes but what I have heard from my elders or big brother was this attack was actually by TALIBANS they were muslims and they hijack the plain and they crushed into towers and talibans are given with knowladge to kill NON MULSMIS AND THEY WILL BE SEND TO JAANAH.( RATHER IM ALSO A MUSLIM BUT I RESPECT ALL RELIGIONS),@muhammadrazaoffcial2117,2024-02-26T17:17:31Z
"conspiracy yeh bhi kehti hai ki fing bhai bhi 9/11 me khud involved the 
fing bhai best video bnate hai (shayad world leaders unko force krte best video bnane ke liye)",@Warrior-,2024-02-26T13:21:51Z
plz also make on pyramids,@IMPROVEMENTHUB468,2024-02-26T10:59:40Z
Yani main sabse bekaar din paida hua hoon 11 sep 😂😂😂,@TUGGamer,2024-02-26T10:48:10Z
I think Fing got kidnapped after exposing there theories,@thefunfox4091,2024-02-26T09:21:47Z
"You can make Another conspiracy bro of subliminal messages. Recently i saw some stalls of in railway stations of mumbai the name is “one nation one product” seems useless isn’t it, maybe they are making us familiar with the words so that they can use it easily in future for “one nation one party”",@saadwagle1032,2024-02-26T09:00:14Z
Where are you brother😢😢,@user-qh2kc1nk1e,2024-02-26T07:59:28Z
Are you trying to make devil horns with background red light?,@yan662,2024-02-26T07:29:21Z
"i am aloso agree with the new story ideas 
1. area 51 
2. peryamids 
3. barmuda tryangle",@rohan_jadhav_010,2024-02-26T06:21:48Z
the view count is 666k while i  am watching it,@MAYANKSAURYASINGH28,2024-02-26T05:08:13Z
Fing Bhai aap Fairies conspiracy theory par video banao,@Aarush23451,2024-02-26T04:38:59Z
Bhai kab daloge new video,@stranger3641,2024-02-25T17:16:04Z
11:18 not 10th sept it was on 8th sept 😊 just correcting ssry😅,@rudrapatel4114,2024-02-25T16:01:55Z
7:49 this scared me fr,@uditaghoshal,2024-02-25T15:53:55Z
"UNIT 731 pe videos banao fing bro   
#content",@gj3anime,2024-02-25T12:08:47Z
Luddo k ander skills lgti h 😅,@chiraggurjar0047,2024-02-25T11:59:41Z
Is illuminati  world behind this in my opinion  because  I think USA is just close of illuminati its a planned  by some people . sometime they all will expose .☝️🤔,@JUNAIDAli-ki8ye,2024-02-25T10:59:13Z
Bro u alive or the fbi got you the next video was supposed to be on 20 February,@yaseenriaz8388,2024-02-25T10:04:41Z
Is he alive or fbi killed him,@rumantech5590,2024-02-25T09:36:29Z
Why all conspiracy theories are related to U.S .only ??,@fantasyartiston,2024-02-25T06:48:52Z
"Michael Jackson knew about the attack and when he tried to expose the government, he was killed mysteriously in his own house.",@ayanahmed6036,2024-02-25T05:42:07Z
Pakistanio se pucho government kia kia kr skti hai,@ayanahmed6036,2024-02-25T05:27:09Z
Make video on new world order,@vectorarun3818,2024-02-25T03:01:19Z
"Phat gayi bhai meri video dekhke
Background noise ko milake chills aarahe😂",@mohammedyaseenfilms,2024-02-25T02:50:43Z
Militantconsumerism plz cover conspiracy form this side,@dev_sisodia88,2024-02-24T16:56:50Z
We need sigaar wala fing 😮‍💨,@asish_KING,2024-02-24T16:55:09Z
