Comments,Author,Timestamp
"I've been very sick for the last 1-2 weeks so my voice might have sounded different in the last two episodes, but still, I'm trying my best to entertain you guys. Thanks for all the love and support on this series.",@FING.,2024-02-12T13:38:58Z
Real nasty things going out there... cruel world... democracy is the new dictatorship,@aruneshchoubey1679,2024-04-25T23:31:22Z
یہ سب افغانستان پر حملہ کرنے کیلئے کیا گیا,@shawazmeer9505,2024-04-24T10:33:40Z
I was born on 13th sept. I know you guys know nothing 🙂,@Sameer_Allrounder,2024-04-23T12:02:03Z
10 ko announce huaa  or 11 ko attack 😂😂gvrnmnt kya  plane ready krke baithi thi kya 😝😝,@sivenahir9558,2024-04-20T09:31:52Z
"Bro, i guess you started this series to just make people aware of the conspiracy theories that exist on different subject matters, not necessarily to make them believe in it. So its kinda wird to post 2 vid on same topic.",@rounaqhossain2211,2024-04-19T15:14:13Z
Make a video about joji,@GODONNFF,2024-04-19T13:39:08Z
They were planning it from years right?,@dhruvkalkeri123_2,2024-04-17T11:06:06Z
"And also a fact that 0sma denied his involvement in 9\| | but american government by  linking his name to talibn attacked afghanistan(even talibn said that they denounce this attack) 
and they linked saddam hussien with 0sma and also attacked iraq where they took millions of kg's of GOLD from iraq . K!lling 10 lakhs + people in both countries.",@ClicksWorthy,2024-04-17T10:23:39Z
8:15 purani photo ha toh,@arjun4646,2024-04-13T10:16:27Z
"मेरे प्यारे चाचा ये "" तुम "" कौन है जिसको ""तू"" ये बता रहा है ?",@milindmm222,2024-04-11T19:27:55Z
Rumsfeld wasn’t saying the Department of Defense was missing $2.3 trillion. He was using the number to illustrate that the department was having trouble keeping track of its finances because of outdated technology.,@heyguysguys8208,2024-04-11T17:34:06Z
2.1 trillion dollar was taken by jews,@SyedaMahi-mq3yb,2024-04-11T01:03:00Z
And people blame Muslim for that,@LATESTgoals7152,2024-04-08T19:41:56Z
Aapko zukam thi kya is video ko bnate waqt,@ritukhutey6360,2024-04-08T12:06:44Z
"I actually was in the building and tried to go down with elevator, but a lady stopped me to go down to the 1st floor. This sounds suspicious according to your theory, maybe that lady knew that 3 planes already are going to crash and  a demolition was going to happen in the 1st floor",@Chenpaidfh,2024-04-08T11:15:54Z
Most of the people knows it was inside job & many Zionists executed this.,@mohammadwasi5304,2024-04-08T06:39:37Z
Israel is doing the same thing using hamas,@quizmaster991,2024-04-06T12:30:20Z
It was planned only fools dont believe it,@basitali2725,2024-04-06T09:32:27Z
